ID,タイトル,現URL,現カテゴリ,主要流入KW(top3),推奨新カテゴリ,URL変更有無,90日クリック数
2391,【BCGマトリクスとは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ①,https://akagiconsulting.com/blog/case-interview/2391/,ケース面接対策,bcgマトリクス(2) | bcgマトリクスとは(2) | bcg フレームワーク(1),case-interview,なし,19
1024,【中途向け】MBB転職支援のプロが教える！MBBの選考内容を徹底解説,https://akagiconsulting.com/blog/fermi-estimate/1024/,ケース面接対策|フェルミ推定対策|企業研究,bcg オファー面談 中途(0) | bcg 中途 フロー(0) | mbb(0),career,あり,19
1019,【中途向け】戦コン転職支援のプロが教える！戦コンの選考内容を徹底解説,https://akagiconsulting.com/blog/fermi-estimate/1019/,ケース面接対策|フェルミ推定対策|企業研究,bcg 中途 フロー(0) | bcg 再応募 中途(0) | せんこんとは(0),career,あり,19
900,【MBB過去問解説】戦コン内定者も苦戦したケース問題に挑戦！①「清涼飲料水の新商品開発」,https://akagiconsulting.com/blog/case-interview/900/,ケース面接対策,ケース問題 解説付き(0) | ケース面接 売上(0) | ケース面接とは(0),case-interview,なし,19
403,【マッキンゼー】ビヘイビア面接(PEI)対策サービスについて,https://akagiconsulting.com/blog/behavior/403/,ビヘイビア対策|体験談,strategists 料金(1) | マッキンゼー 人物面接(1) | ケース面接対策塾strategists 料金(0),case-interview,あり,19
2130,ジェンパクトコンサルティングの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2130/,企業研究,ジェンパクト(1) | ジェンパクトコンサルティング(1) | genpact(0),information,なし,17
1218,戦コン一次面接突破のコツ！基礎系ケース面接を攻略して内定/転職！【MBB内定者が解説】ステージ別対策①,https://akagiconsulting.com/blog/fermi-estimate/1218/,ケース面接対策|フェルミ推定対策,ケース面接対策塾strategists 評判(1) | aiケース面接とは(0) | bcg 中途 落ちた(0),case-interview,あり,15
2478,【CAGE分析とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑬,https://akagiconsulting.com/blog/case-interview/2478/,ケース面接対策,cage フレームワーク(1) | cageフレームワーク(1) | a cage(0),case-interview,なし,14
923,【戦コン過去問】MBB内定者が高難易度フェルミ推定を解説！①（ケース面接付き）,https://akagiconsulting.com/blog/fermi-estimate/923/,ケース面接対策|フェルミ推定対策,mbb コンサル(0) | mbb 難易度(0) | アルミ建値(0),fermi-estimate,なし,14
2433,【4P分析とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ④,https://akagiconsulting.com/blog/case-interview/2433/,ケース面接対策,4c とは(0) | 4c 意味(0) | 4cとは(0),case-interview,なし,10
2136,ビッグツリーテクノロジー＆コンサルティングの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2136/,企業研究,ビッグツリーテクノロジー&コンサルティング(1) | btc コンサル(0) | itコンサル 企業(0),information,なし,9
649,戦略コンサルとは？戦コンへの転職・ケース面接対策方法【MBB社員が徹底解説！】,https://akagiconsulting.com/blog/case-interview/649/,おすすめ|ケース面接対策|企業研究,corporate strategy manager(0) | mbb と は(0) | mbb とは(0),case-interview,なし,9
2497,【パレートの法則とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑰,https://akagiconsulting.com/blog/case-interview/2497/,ケース面接対策,2080の法則(0) | 28の法則(0) | 28の法則とは(0),case-interview,なし,8
917,【応用系ケース面接過去問解説】戦コン内定者も苦戦した発展系ケース面接に挑戦！④【MBB内定者が解説】,https://akagiconsulting.com/blog/fermi-estimate/917/,ケース面接対策|フェルミ推定対策,dirbato ケース面接(0) | ケーススタディ(0) | ケーススタディ 例題(0),case-interview,あり,8
1282,デロイト（DTC）の選考プロセスと各部門の業務内容を徹底解説！総コン企業研究①,https://akagiconsulting.com/blog/information/1282/,企業研究,dtc process(0) | dtc とは会社(0) | デロイト dtc(0),information,なし,7
1199,【初めてのケース面接⑥/未来予測編】戦コン内定者が基礎的な考え方とBCG過去問を徹底解説！,https://akagiconsulting.com/blog/case-interview/1199/,ケース面接対策,bcg ケース面接 過去問(0) | bcg ケース面接体験会(0) | ケーススタディ 面接(0),case-interview,なし,7
2446,【カスタマージャーニーとは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑥,https://akagiconsulting.com/blog/case-interview/2446/,ケース面接対策,customerジャーニー(0) | patient journeyとは(0) | お客様のニーズに合った(0),case-interview,なし,6
2484,【STP分析とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑭,https://akagiconsulting.com/blog/case-interview/2484/,ケース面接対策,stp 4p(0) | stp ブランド(0) | stp-4p(0),case-interview,なし,6
679,未経験からの戦略コンサル転職に年齢制限はある？30代〜でも転職可能？【プロが教える】,https://akagiconsulting.com/blog/information/679/,企業研究,戦略コンサル 転職(1) | 37歳 転職(0) | 37歳転職(0),career,あり,6
1222,戦コン二次面接突破のコツ！応用系ケース面接を攻略して内定/転職！【MBB内定者が解説】ステージ別対策②,https://akagiconsulting.com/blog/fermi-estimate/1222/,ケース面接対策|フェルミ推定対策,ケース面接 売上2倍(0) | フェルミ推定 コツ(0),case-interview,あり,5
1099,【過去問研究/コーポレイト・ディレクション（CDI）】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/case-interview/1099/,ケース面接対策,cdi 第二新卒(0) | コーポレイトディレクションズ 転職(0) | デロイト ケース面接 過去問(0),career,あり,4
482,Strategistsについて【戦コン内定者輩出実績、ケース面接対策(指導)サービス/教科書/動画講座について】,https://akagiconsulting.com/blog/news/482/,おすすめ|お知らせ|ケース面接対策,データなし,case-interview,あり,4
2450,【バリューチェーン分析とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑦,https://akagiconsulting.com/blog/case-interview/2450/,ケース面接対策,データなし,case-interview,なし,3
2120,パクテラ・コンサルティングの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2120/,企業研究,コンサルへの転職(0) | コンサルティング 転職(0),information,なし,3
2073,フューチャーアーキテクトの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2073/,企業研究,フューチャー(0),information,なし,3
2467,【アンゾフの成長マトリクスとは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑪,https://akagiconsulting.com/blog/case-interview/2467/,ケース面接対策,データなし,case-interview,なし,2
2141,ビジネスブレイン太田昭和の選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2141/,企業研究,ビジネスブレイン太田昭和 採用大学(0) | ビジネスブレイン太田昭和 難易度(0),information,なし,2
942,戦コン過去問に挑戦！公共系ケース面接解説シリーズ②【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/942/,ケース面接対策,データなし,case-interview,なし,2
2405,【3C分析とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ②,https://akagiconsulting.com/blog/case-interview/2405/,ケース面接対策,データなし,case-interview,なし,1
2053,シンプレクスの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2053/,企業研究,データなし,information,なし,1
1850,日本IBMの選考プロセスと各部門の業務内容を徹底解説！総コン企業研究シリーズ⑦,https://akagiconsulting.com/blog/information/1850/,企業研究,ibm コンサル 転職(0) | ibm コンサルタント 仕事内容(0) | ibm 事業内容(0),information,なし,1
725,戦略コンサル転職を完全攻略、万全の準備・ケース面接対策で選考突破を目指そう 【プロが教える】,https://akagiconsulting.com/blog/fermi-estimate/725/,ケース面接対策|フェルミ推定対策,コンサル 転職 準備(0) | ベイン 転職難易度(0),case-interview,あり,1
2455,【AIDMAとは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑨,https://akagiconsulting.com/blog/?p=2455,ケース面接対策,データなし,case-interview,不明,0
2472,【SWOT分析とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑫,https://akagiconsulting.com/blog/case-interview/2472/,ケース面接対策,データなし,case-interview,なし,0
2492,【VRIO分析とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑯,https://akagiconsulting.com/blog/?p=2492,ケース面接対策,データなし,case-interview,不明,0
2461,【ファイブフォース分析とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑩,https://akagiconsulting.com/blog/?p=2461,ケース面接対策,データなし,case-interview,不明,0
2309,マーサー （Mercer）の選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/?p=2309,企業研究,データなし,information,不明,0
2113,電通デジタルの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2113/,企業研究,データなし,information,なし,0
2094,タタコンサルタンシーサービシズの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/?p=2094,企業研究,データなし,information,不明,0
2090,NTTデータの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/?p=2090,企業研究,データなし,information,不明,0
2048,スカイライトコンサルティングの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/?p=2048,企業研究,データなし,information,不明,0
909,【BCG過去問解説】戦コン内定者も苦戦した発展系ケース面接に挑戦！③「海運ビジネスが停滞している要因とその改善施策」,https://akagiconsulting.com/blog/?p=909,ケース面接対策|フェルミ推定対策,データなし,case-interview,不明,0
837,ケース面接でプロの指導を受けるには？独学との違いは？【万全な対策で戦コン転職を成功させよう】,https://akagiconsulting.com/blog/case-interview/837/,おすすめ|ケース面接対策|体験談,ケース面接 難しい(0) | ケース面接対策塾strategists 評判(0) | サービス 転職ケーススタディ(0),case-interview,なし,0
